B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
R burn,Old_1_vs_New_Rs,,,R burn,Old_2_vs_New_1,,,R burn,Old_3_vs_New_2,,,R burn,priority_4,,,R burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2955620.0%,2955620.0%,,1,59850487.0%,1662733.0000000002%,,1,1239959.0%,55392888.0%,,1,19579343.0%,6929873.0%,,1,3578162.9999999995%,3346312.0000000005%
2,2444895.0%,2444895.0%,,2,37808482.0%,570009.0%,,2,1815402.0%,37741883.0%,,2,15735846.0%,5007570.0%,,2,3239595.0%,4059626.9999999995%
3,2270275.0%,2270275.0%,,3,40882097.0%,41707056.0%,,3,2868519.0%,12399003.0%,,3,18198711.0%,6959555.0%,,3,4744314.0%,4279094.0%
4,2311797.0%,2311797.0%,,4,38151810.0%,41039787.0%,,4,998609.0%,14567269.0%,,4,19701526.0%,3303562.0000000005%,,4,4065940.0%,3311483.0%
5,1753647.0%,1753647.0%,,5,39732384.0%,43814179.0%,,5,1890028.0%,15706388.0%,,5,23052797.0%,5190849.0%,,5,4040073.0000000005%,3050144.0%
6,1626355.0%,1626355.0%,,6,43197791.0%,45835246.0%,,6,1678750.9999999998%,17707099.0%,,6,23595880.0%,5274644.0%,,6,4740696.0%,2887401.0%
,,,
R burn gmv,Old_1_vs_New_Rs,,,R burn gmv,Old_2_vs_New_1,,,R burn gmv,Old_3_vs_New_2,,,R burn gmv,priority_4,,,R burn gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,13.1876144%,13.1876144%,,1,28.5324325%,21.1924104%,,1,18.1264867%,28.714758200000002%,,1,22.6252498%,23.7427626%,,1,11.4905215%,15.0990302%
2,11.2307347%,11.2307347%,,2,27.938472800000003%,15.9419041%,,2,19.4909134%,27.987838599999996%,,2,21.763604100000002%,18.7458861%,,2,10.5783001%,12.424945699999999%
3,12.4810299%,12.4810299%,,3,28.683998799999998%,29.995477100000002%,,3,20.354958%,21.5200052%,,3,22.7164613%,21.9757924%,,3,12.807584%,11.8647648%
4,16.9368138%,16.9368138%,,4,31.154453399999998%,30.985483000000002%,,4,15.834210100000002%,23.0785249%,,4,24.1865223%,19.999200899999998%,,4,12.760223700000001%,13.660879000000001%
5,16.9801494%,16.9801494%,,5,28.7311487%,28.3819995%,,5,18.7372286%,24.0192255%,,5,24.5219606%,22.3229361%,,5,12.2234332%,12.049740700000001%
6,14.278521399999999%,14.278521399999999%,,6,28.645892699999997%,28.2646708%,,6,19.4287067%,24.0333319%,,6,23.6258596%,24.1470348%,,6,13.787743599999999%,10.883570800000001%
,,,
R burn per order,Old_1_vs_New_Rs,,,R burn per order,Old_2_vs_New_1,,,R burn per order,Old_3_vs_New_2,,,R burn per order,priority_4,,,R burn per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,479.18612191958%,479.18612191958%,,1,1278.44680123892%,836.3848088531199%,,1,779.84842767296%,1285.15818291495%,,1,985.1737445909199%,1015.0685513402699%,,1,473.92887417219004%,624.66156430838%
2,415.02206756069%,415.02206756069%,,2,1175.63687810945%,609.63529411765%,,2,810.08567603748%,1176.78607508107%,,2,910.63923611111%,739.88918439716%,,2,429.31288099655%,509.87528259231%
3,467.13477366255%,467.13477366255%,,3,1227.87496621114%,1302.85692865176%,,3,902.0500000000001%,951.4274861878499%,,3,992.24202606183%,905.72032795419%,,3,534.26959459459%,488.20239589275997%
4,636.15767749037%,636.15767749037%,,4,1296.5780798640599%,1307.33266437309%,,4,624.130625%,957.36520767613%,,4,1026.5488745310502%,810.88905252823%,,4,497.42353804747%,521.16509285489%
5,629.2238966630799%,629.2238966630799%,,5,1177.74436803415%,1171.5960905955%,,5,743.81267217631%,997.1676718938501%,,5,1040.05400406046%,950.3568290003701%,,5,487.57820419986%,464.96097560976006%
6,521.93677792041%,521.93677792041%,,6,1170.1644544371%,1169.44547634842%,,6,822.111165524%,1023.8276380456799%,,6,1009.27670131314%,969.78194521052%,,6,536.09589505824%,408.05553985302004%
,,,
Ted,Old_1_vs_New_Rs,,,Ted,Old_2_vs_New_1,,,Ted,Old_3_vs_New_2,,,Ted,priority_4,,,Ted,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,7557394.0%,7557394.0%,,1,96722881.0%,2880951.0%,,1,2314578.0%,88402340.0%,,1,33700836.0%,11721405.0%,,1,8024555.0%,6630331.0%
