B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
6,3276.6666666666665%,3276.6666666666665%,,6,9493.333333333334%,8393.333333333334%,,6,2796.6666666666665%,16520.0%,,6,25633.333333333332%,13996.666666666666%,,6,55546.66666666667%,41313.333333333336%
,,,
Exposure uv,Old_1_vs_New_Rs,,,Exposure uv,Old_2_vs_New_1,,,Exposure uv,Old_3_vs_New_2,,,Exposure uv,priority_4,,,Exposure uv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,192092,192092,,1,2715599,46526,,1,153580,2573545,,1,3484603,1512232,,1,3394112,2246945
2,184005,184005,,2,2626866,28281,,2,164935,2683328,,2,3143178,1673348,,2,2887759,2848072
3,289296,289296,,3,2525568,2461845,,3,176188,1668485,,3,3306322,1822832,,3,4280747,4002846
4,240438,240438,,4,2371503,1984975,,4,113180,1611683,,4,2718030,1582632,,4,3317277,3200276
5,273797,273797,,5,2625029,2439982,,5,154677,1712511,,5,2858012,1532928,,5,3395208,2671093
6,293467,293467,,6,2630341,2348253,,6,165755,1857231,,6,2818048,1404032,,6,3928271,3086027
,,,
Healthy stores,Old_1_vs_New_Rs,,,Healthy stores,Old_2_vs_New_1,,,Healthy stores,Old_3_vs_New_2,,,Healthy stores,priority_4,,,Healthy stores,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2406.451612903226%,2406.451612903226%,,1,8377.41935483871%,918.1818181818181%,,1,2409.677419354839%,7832.25806451613%,,1,24683.870967741936%,12872.0%,,1,42567.74193548387%,33552.0%
2,2989.655172413793%,2989.655172413793%,,2,8703.448275862069%,335.7142857142857%,,2,2668.96551724138%,8968.965517241379%,,2,25524.137931034486%,14048.275862068966%,,2,44755.17241379311%,45079.31034482759%
3,3477.4193548387098%,3477.4193548387098%,,3,8067.74193548387%,7777.41935483871%,,3,2280.6451612903224%,12174.193548387097%,,3,23822.580645161288%,13364.51612903226%,,3,41351.61290322581%,40164.51612903226%
4,3343.333333333333%,3343.333333333333%,,4,8830.0%,7006.666666666666%,,4,1926.6666666666665%,15130.000000000002%,,4,24710.0%,14496.666666666666%,,4,43066.66666666667%,41026.666666666664%
5,2958.064516129032%,2958.064516129032%,,5,8503.225806451614%,8051.612903225807%,,5,2258.064516129032%,14635.48387096774%,,5,24480.645161290322%,13774.193548387098%,,5,44441.93548387097%,32480.645161290322%
6,2750.0%,2750.0%,,6,9003.333333333334%,7903.333333333333%,,6,2450.0%,15186.666666666668%,,6,23296.666666666668%,12500.0%,,6,43853.333333333336%,32586.666666666668%
,,,
Imperfect orders,Old_1_vs_New_Rs,,,Imperfect orders,Old_2_vs_New_1,,,Imperfect orders,Old_3_vs_New_2,,,Imperfect orders,priority_4,,,Imperfect orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,46,4600.0%,,1,741,1700.0%,,1,44,71200.0%,,1,639,26500.0%,,1,215,17900.0%
2,33,3300.0%,,2,700,400.0%,,2,45,72400.0%,,2,503,20700.0%,,2,192,21000.0%
3,39,3900.0%,,3,680,71200.0%,,3,36,35500.0%,,3,581,23000.0%,,3,354,19200.0%
4,32,3200.0%,,4,820,73100.0%,,4,12,37600.0%,,4,486,19300.0%,,4,187,19000.0%
5,49,4900.0%,,5,792,77300.0%,,5,11,35100.0%,,5,515,19600.0%,,5,179,13900.0%
6,65,6500.0%,,6,774,65900.0%,,6,18,41800.0%,,6,449,16500.0%,,6,187,11200.0%
,,,
Imperfect order rate,Old_1_vs_New_Rs,,,Imperfect order rate,Old_2_vs_New_1,,,Imperfect order rate,Old_3_vs_New_2,,,Imperfect order rate,priority_4,,,Imperfect order rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,5.54885404101326%,5.54885404101326%,,1,2.1629984237258397%,3.8374717832957104%,,1,3.7288135593220297%,2.17776962133724%,,1,2.6809314033983602%,2.6996740016299903%,,1,3.1659549403622402%,3.6523158539073597%
2,3.8194444444444398%,3.8194444444444398%,,2,2.1905805038335098%,2.75862068965517%,,2,3.78469301934398%,2.22215401614437%,,2,2.40935000239498%,2.39888747247653%,,2,3.11183144246353%,3.18567961165048%
3,2.83018867924528%,2.83018867924528%,,3,2.0559956461268603%,2.17431136627374%,,3,3.5433070866141696%,2.60054208482895%,,3,2.66758494031221%,2.42949191929861%,,3,3.06865464632454%,3.06709265175718%
4,2.7027027027027%,2.7027027027027%,,4,2.0800040585445%,2.0506634499396803%,,4,1.8045112781954802%,2.50766973456049%,,4,2.46738081941412%,2.1415889924545%,,4,3.1444425760887804%,3.3421284080914595%
5,2.84057971014492%,2.84057971014492%,,5,1.98595787362086%,2.02945732363674%,,5,1.48448043184885%,2.40312200465562%,,5,2.4917747242113397%,2.45183887915936%,,5,2.981345769487%,2.9393106364982002%
6,3.2928064842958396%,3.2928064842958396%,,6,1.95548369167024%,1.85226825566361%,,6,2.43572395128552%,2.58631357505259%,,6,2.34232354322082%,2.31611454239191%,,6,3.00064184852374%,2.56292906178489%
,,,
Orders per eff online,Old_1_vs_New_Rs,,,Orders per eff online,Old_2_vs_New_1,,,Orders per eff online,Old_3_vs_New_2,,,Orders per eff online,priority_4,,,Orders per eff online,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,82.98298298298297%,82.98298298298297%,,1,1253.9531478770132%,421.9047619047619%,,1,135.78826237054085%,1275.6145142411237%,,1,282.7066777369232%,269.6703296703297%,,1,39.87434677940226%,44.10944109441094%
2,79.26605504587157%,79.26605504587157%,,2,1217.3333333333335%,142.15686274509804%,,2,135.88571428571427%,1203.138847858198%,,2,256.8528543307087%,194.1719171917192%,,2,37.6196573379672%,39.94909399430337%
3,101.84774575018479%,101.84774575018479%,,3,1254.2282897231703%,1286.679764243615%,,3,125.89838909541511%,319.4710975895156%,,3,265.25392765801973%,207.65518754112745%,,3,70.48328954603777%,39.3339616713792%
4,95.02407704654897%,95.02407704654897%,,4,1396.493092454835%,1615.1789759855005%,,4,99.25373134328358%,299.70017989206474%,,4,238.92527899078115%,187.00975306080096%,,4,36.44218395735032%,36.07691331387231%
5,156.81818181818178%,156.81818181818178%,,5,1421.74688057041%,1459.9080107320813%,,5,91.70792079207921%,295.4885696945175%,,5,248.8321695160125%,167.62423988257495%,,5,34.343896579338754%,36.321044546851%
6,200.8138351983724%,200.8138351983724%,,6,1389.7823033707866%,1412.9467831612392%,,6,88.08104886769964%,326.10976594027443%,,6,249.27178153446033%,169.65944272445822%,,6,37.39798367738838%,35.2589962885267%
,,,
R burn,Old_1_vs_New_Rs,,,R burn,Old_2_vs_New_1,,,R burn,Old_3_vs_New_2,,,R burn,priority_4,,,R burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,112037800.0%,112037800.0%,,1,4737059300.0%,56892500.0%,,1,125241800.0%,4558665500.0%,,1,2700535300.0%,1130079600.0%,,1,439783000.0%,380573200.0%
2,138852600.0%,138852600.0%,,2,4607013300.0%,11345500.0%,,2,124680100.0%,4702194100.0%,,2,2290328300.0%,927863000.0%,,2,371882600.0%,431095900.0%
3,145044400.0%,145044400.0%,,3,4965661000.0%,4891372500.0%,,3,108881500.0%,1610125900.0%,,3,2479695300.0%,1094983900.0%,,3,1480138100.0%,424695500.0%
