B2c gmv,priority_4
6,1285.1819082894256,1080.763335204941

Ted,priority_4
month,Old priority,New priority
1,38877453.0,16301763.0
2,34205819.0,14316811.0
3,36749048.0,16412881.0
4,34383708.0,13087813.0
5,39296119.0,12718285.0
6,36893343.0,11353540.0

Ted gmv,priority_4
month,Old priority,New priority
1,0.201748232,0.212731507
2,0.194732694,0.18787032
3,0.19859136,0.194926193
4,0.2092173,0.172529556
5,0.225633683,0.189299093
6,0.225854027,0.187121896




